 ispLEVER Classic 2.1.00.02.49.20 Fitter Report File 
Project Name,homework10
Project Path,C:\Users\ethan\OneDrive - California Institute of Technology\2024-25\2 - Winter Term\EE CS 10a\reference\Homework 10\isplever
Project Fitted on,Wed Mar 19 05:13:35 2025

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
100,I_O,1,N2,,,,
101,I_O,1,N4,,,,
102,I_O,1,N6,,,,
103,I_O,1,N8,,,,
104,I_O,1,N10,,,,
105,I_O,1,N12,,,,
106,VCCIO1,-,,,,,
107,TDO,-,,,,,
108,VCC,-,,,,,
109,GND,-,,,,,
110,IN7,1,,*,LVCMOS18,Input,ProgramDB0
111,I_O,1,O12,,,,
112,I_O,1,O10,,LVCMOS18,Tri-Out,ProgramAB6
113,I_O,1,O8,,,,
114,I_O,1,O6,,LVCMOS18,Bidir,SReg4
115,I_O,1,O4,,LVCMOS18,Bidir,XReg4
116,I_O,1,O2,,LVCMOS18,Tri-Out,ProgramAB5
117,IN8,1,,*,LVCMOS18,Input,Reset
118,GNDIO1,-,,,,,
119,VCCIO1,-,,,,,
120,I_O,1,P12,,LVCMOS18,Bidir,SReg1
121,I_O,1,P10,,LVCMOS18,Bidir,SReg5
122,I_O,1,P8,,LVCMOS18,Bidir,SReg6
123,I_O,1,P6,,LVCMOS18,Bidir,XReg1
124,I_O,1,P4,,LVCMOS18,Bidir,XReg5
125,I_O/OE,1,P2,,LVCMOS18,Bidir,XReg6
126,INCLK3,1,,*,LVCMOS18,Input,ProgramDB8
127,GNDIO0,-,,,,,
128,INCLK0,0,,,LVCMOS18,Input,Clock
129,VCC,-,,,,,
130,I_O/OE,0,A2,,LVCMOS18,Input,ProgramDB14
131,I_O,0,A4,,LVCMOS18,Bidir,DataDB1
132,I_O,0,A6,,LVCMOS18,Bidir,DataDB0
133,I_O,0,A8,,LVCMOS18,Input,ProgramDB11
134,I_O,0,A10,,,,
135,I_O,0,A12,,,,
136,VCCIO0,-,,,,,
137,GNDIO0,-,,,,,
138,I_O,0,B2,,LVCMOS18,Bidir,XReg7
139,I_O,0,B4,,LVCMOS18,Bidir,XReg3
140,I_O,0,B6,,LVCMOS18,Bidir,XReg2
141,I_O,0,B8,,LVCMOS18,Bidir,SReg7
142,I_O,0,B10,,LVCMOS18,Bidir,SReg3
143,I_O,0,B12,,LVCMOS18,Bidir,SReg2
144,IN9,0,,*,LVCMOS18,Input,debug
